path,SkimSeek_ID,ProjectID,IID,NewID
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//120031.vcf.gz,120031,SeminThermoSSK,120031,SeminThermoSSK_120031
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//120040.vcf.gz,120040,SeminThermoSSK,120040,SeminThermoSSK_120040
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//120042.vcf.gz,120042,SeminThermoSSK,120042,SeminThermoSSK_120042
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//120043.vcf.gz,120043,SeminThermoSSK,120043,SeminThermoSSK_120043
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//120045.vcf.gz,120045,SeminThermoSSK,120045,SeminThermoSSK_120045
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//120054.vcf.gz,120054,SeminThermoSSK,120054,SeminThermoSSK_120054
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//120055.vcf.gz,120055,SeminThermoSSK,120055,SeminThermoSSK_120055
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//120061.vcf.gz,120061,SeminThermoSSK,120061,SeminThermoSSK_120061
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//120063.vcf.gz,120063,SeminThermoSSK,120063,SeminThermoSSK_120063
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//120064.vcf.gz,120064,SeminThermoSSK,120064,SeminThermoSSK_120064
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//120066.vcf.gz,120066,SeminThermoSSK,120066,SeminThermoSSK_120066
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//120086.vcf.gz,120086,SeminThermoSSK,120086,SeminThermoSSK_120086
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//120093.vcf.gz,120093,SeminThermoSSK,120093,SeminThermoSSK_120093
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//120096.vcf.gz,120096,SeminThermoSSK,120096,SeminThermoSSK_120096
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//120105.vcf.gz,120105,SeminThermoSSK,120105,SeminThermoSSK_120105
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//120110.vcf.gz,120110,SeminThermoSSK,120110,SeminThermoSSK_120110
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//120125.vcf.gz,120125,SeminThermoSSK,120125,SeminThermoSSK_120125
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//120133.vcf.gz,120133,SeminThermoSSK,120133,SeminThermoSSK_120133
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//120138.vcf.gz,120138,SeminThermoSSK,120138,SeminThermoSSK_120138
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//120141.vcf.gz,120141,SeminThermoSSK,120141,SeminThermoSSK_120141
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//120144.vcf.gz,120144,SeminThermoSSK,120144,SeminThermoSSK_120144
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//120146.vcf.gz,120146,SeminThermoSSK,120146,SeminThermoSSK_120146
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//120154.vcf.gz,120154,SeminThermoSSK,120154,SeminThermoSSK_120154
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//120159.vcf.gz,120159,SeminThermoSSK,120159,SeminThermoSSK_120159
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//120163.vcf.gz,120163,SeminThermoSSK,120163,SeminThermoSSK_120163
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//120165.vcf.gz,120165,SeminThermoSSK,120165,SeminThermoSSK_120165
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//120166.vcf.gz,120166,SeminThermoSSK,120166,SeminThermoSSK_120166
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//120167.vcf.gz,120167,SeminThermoSSK,120167,SeminThermoSSK_120167
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//120168.vcf.gz,120168,SeminThermoSSK,120168,SeminThermoSSK_120168
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//120178.vcf.gz,120178,SeminThermoSSK,120178,SeminThermoSSK_120178
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//120179.vcf.gz,120179,SeminThermoSSK,120179,SeminThermoSSK_120179
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//120180.vcf.gz,120180,SeminThermoSSK,120180,SeminThermoSSK_120180
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//150089.vcf.gz,150089,SeminThermoSSK,150089,SeminThermoSSK_150089
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//170001-44957836.vcf.gz,170001-44957836,ThermoWesSSK,170001,ThermoWesSSK_170001
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//170002-44957837.vcf.gz,170002-44957837,ThermoWesSSK,170002,ThermoWesSSK_170002
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//170003-44957838.vcf.gz,170003-44957838,ThermoWesSSK,170003,ThermoWesSSK_170003
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//170004-44957839.vcf.gz,170004-44957839,ThermoWesSSK,170004,ThermoWesSSK_170004
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//170005-44957840.vcf.gz,170005-44957840,ThermoWesSSK,170005,ThermoWesSSK_170005
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//170006-44957841.vcf.gz,170006-44957841,ThermoWesSSK,170006,ThermoWesSSK_170006
